,0,1
63,이소정,"포미니츠(2022)
베르나르다 알바(2021)
이소정 with 조윤성 성민제 Paco - 부산(2017)"
64,이지명,"멸화군(2023)
제16회 대구국제뮤지컬페스티벌 - 산들(2022)
창업(2021)"
65,박진우,"레베카(2019)
안나 카레니나(2019)
오! 캐롤(2018)"
66,박지아,"마우스트랩(2023)
76 페스티벌 - 심청전을 짓다(2021)
엘리펀트 송(2019)"
67,강연종,"하트스트링스 - 부산(2023)
강연종 콘서트 - 대전(2020)
가야의 노래(2019)"
68,서현,"서현 팬미팅(2023)
서현 팬미팅(2018)
아니벌써 콘서트(2017)"
69,서현진,"신데렐라(2015)
궁(2010)"
70,최원준,"사랑은 비를 타고(2014)
막돼먹은 영애씨(2012)
막돼먹은 영애씨(2011)"
71,강인,"궁(2012)
제너두(2008)"
72,정진호,"2016 자라섬 뮤지컬 페스티벌(2016)
아르센 루팡(2013)
뮤지컬 13(2012)"
73,이광용,"외솔 겨레의 등불 최현배 - 울산(2016)
레베카(2014)
엘리자벳(2013)"
74,안두호,"마우스트랩(2023)
아가사 - 공주(2022)
서툰 사람들(2022)"
75,이연경,"알로하 나의 엄마들(2022)
지붕위의 바이올린(2022)
작은 아씨들(2021)"
76,최종선,"영웅(2022)
지저스 크라이스트 수퍼스타(2020)
마리 앙투아네트(2019)"
77,이도국,"스페셜 라이어(2021)
브라더 포인트(2019)
제5회 무죽 페스티벌 - 브라더 포인트(2019)"
78,하희라,"러브레터(2022)
굿바이걸(2008)
우리가 애인을 꿈꾸는 이유(2004)"
79,신문성,"심청전을 짓다(2022)
76 페스티벌 - 심청전을 짓다(2021)
이카이노의 눈(2020)"
80,벤,"벤 콘서트(2022)
지소울 벤 콘서트 - 창원(2021)
벤 콘서트(2020)"
81,김영지,"남진 콘서트 - 구리(2022)
롤링 21주년 기념공연 vol.3(2016)
라우더스 패밀리 콘서트(2015)"
82,김홍표,"대한민국전형적인살인청부업자이야기(2020)
부장들(2019)
서울서울서울(2018)"
83,박성훈,"알로하 나의 엄마들(2022)
지붕위의 바이올린(2022)
작은 아씨들(2021)"
84,박은영,"미리내 삼대 - 부천(2023)
불편한 편의점(2023)
마이 맘(2015)"
85,윤승욱,"신의 손을 빌린 남자 - 안산(2019)
영웅(2017)
에쿠스콘서트콰이어 26회 정기연주회(2015)"
86,K2,"어떤가요 콘서트(2022)
K2 김성면 콘서트(2019)
김성면 & 에메랄드캐슬 콘서트(2018)"
87,김사은,"삼총사(2014)
삼총사(2013)
사랑은 비를 타고(2011)"
88,오상은,"월남스키부대(2014)
김종욱 찾기(2013)
캐치 미 이프 유 캔(2012)"
89,김학준,"언틸 더 데이(2012)
언틸 더 데이(2011)
언틸 더 데이(2011)"
90,이석,"지킬 앤 하이드 - 김해(2012)
부니부니(2010)
맘마미아 - 부산(2010)"
91,임재청,"더 스트레인지(2019)
김구 가다보면 - 인천(2019)
마리아 마리아 - 고양(2014)"
92,박혜경,"2017 대구포크페스티벌(2017)
이안 행복드림콘서트(2015)
파크 콘서트 - 성남(2015)"
93,박시은,"연애시대(2011)
JESUS JESUS(2008)"
94,홍상진,"마마(2019)
프린세스 프링(2018)
갤럭시키즈(2017)"
95,김도원,"마리아 마리아(2016)
락시터(2013)
락시터(2012)"
96,박나래,"박나래의 농염주의보(2019)
슈퍼 디셈버 페스티벌 - 의정부(2018)
원더우먼 페스티벌(2017)"
97,최윤호,"십이야(2010)
테너를 빌려줘 - 부산(2009)
테너를 빌려줘(2009)"
98,이강,"이원복의 먼나라 이웃나라 클래식 콘서트(2014)
팝콘(2011)
설공찬전(2010)"
99,고미경,"순신(2023)
신과 함께_저승편(2023)
금란방(2022)"
