,뮤지컬 이름,공연장,기간
60,난타(NANTA) - 홍대공연,홍대난타극장,"2023.11.16~
2024.03.31"
61,넌버벌 코미디 〈옹알스〉,대학로 세우아트센터 2관,"2023.09.30~
2023.12.31"
62,더 맨 얼라이브 〈초이스〉,서울숲씨어터 2관,"2023.05.12~
2023.12.31"
63,동구문화체육센터 뮤지컬 〈앤 ANNE〉 - 인천,동구문화체육센터 공연장,"2023.10.27~
2023.10.28"
64,라면에 파송송,노원 로즈아트홀,"2022.04.23~
2024.01.27"
65,러스트(RUST) - 전주,한국소리문화의전당 명인홀,"2023.11.03~
2023.11.04"
66,런던레코드,엠스테이지 1관,"2023.01.13~
2023.12.31"
67,뮤지컬 〈블루 블라인드〉 - 의정부,의정부예술의전당 대극장,"2023.11.10~
2023.11.10"
68,뮤지컬 ‘하모니’ - 전주,전북대 삼성문화회관,"2023.10.13~
2023.10.14"
69,뮤지컬 〈그날들〉 10주년 기념 공연 - 수원,경기아트센터 대극장,"2023.11.25~
2023.11.26"
70,뮤지컬 〈김종욱 찾기〉 - 대전,대전 우송예술회관,"2023.12.23~
2023.12.25"
71,뮤지컬 〈나도 해피엔딩을 쓰고싶어〉 - 인천 남동,남동소래아트홀 소래극장,"2023.10.20~
2023.10.21"
72,뮤지컬 〈나도 해피엔딩을 쓰고싶어〉 - 인천 부평,부평아트센터 해누리 극장,"2023.10.13~
2023.10.14"
73,뮤지컬 〈나도 해피엔딩을 쓰고싶어〉 - 인천 청라,청라블루노바홀,"2023.11.01~
2023.11.02"
74,뮤지컬 〈내일은 스타〉,대학로 스타스테이지,"2023.08.26~
2023.10.29"
75,뮤지컬 〈달가림〉,대학로 예그린씨어터,"2023.10.13~
2023.10.29"
76,뮤지컬 〈더 쇼! 신라하다〉,경주엑스포대공원 문화센터 문무홀,"2023.10.21~
2023.12.07"
77,뮤지컬 〈레미제라블〉 - 부산 내 생애 첫 뮤지컬 캠페인,부산 드림씨어터,"2023.10.15~
2023.11.03"
78,뮤지컬 〈마리 퀴리〉 - 부산,부산문화회관 대극장,"2023.10.14~
2023.10.15"
79,뮤지컬 〈맘마미아!〉 - 목포,목포시민문화체육센터 대공연장,"2023.11.18~
2023.11.19"
80,뮤지컬 〈맘마미아!〉 - 성남,성남아트센터 오페라하우스,"2023.11.03~
2023.11.05"
81,뮤지컬 〈맘마미아!〉 - 안동,안동문화예술의전당 웅부홀,"2023.12.30~
2023.12.31"
82,뮤지컬 〈맘마미아!〉 - 천안,천안예술의전당 대공연장,"2023.11.10~
2023.11.12"
83,뮤지컬 〈맘마미아〉 - 수원,경기아트센터 대극장,"2023.10.13~
2023.10.15"
84,뮤지컬 〈맘마미아〉 - 여수,GS칼텍스 예울마루 대극장,"2023.11.24~
2023.11.26"
85,뮤지컬 〈몬테크리스토〉,충무아트센터 대극장,"2023.11.21~
2024.02.25"
86,뮤지컬 〈볼륨업〉,서울숲 씨어터 1관,"2023.10.06~
2024.01.28"
87,뮤지컬 〈삼총사〉 - 광주,광주예술의전당 대극장,"2023.12.01~
2023.12.03"
