,연극 이름,공연장,기간
59,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 광주,국립아시아문화전당 문화정보원 극장3(B3층),"2023.12.23~
2023.12.25"
60,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 대구,대구보건대 인당아트홀,"2023.12.23~
2023.12.25"
61,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 대전,대덕구청소년어울림센터,"2023.12.22~
2023.12.24"
62,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 대학로,피카소 소극장,"2023.11.03~
2023.12.31"
63,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 인천,인천 트라이보울,"2023.12.23~
2023.12.24"
64,［2023’셀러브리티 로코연극］러브액츄얼리 첫번째사연_크리스마스 특별공연 - 부산,부산메트로홀,"2023.10.20~
2023.12.31"
65,［연극 on stage］ 99% - 화성,모두누림센터 누림아트홀,"2023.11.04~
2023.11.05"
66,［연극 on stage］ 띨뿌리 - 화성,모두누림센터 누림아트홀,"2023.12.16~
2023.12.16"
67,［연애하기 좋은 날 : 당근거래］ - 전주,한해랑아트홀,"2023.09.29~
2023.11.05"
68,［장애인 선예매］ 러브 앤 인포메이션,두산아트센터 Space111,"2023.10.17~
2023.11.04"
69,［창작공감: 연출］당신에게 닿는 길,홍익대 대학로 아트센터 소극장,"2023.10.05~
2023.10.29"
70,［청소년극］［Tank ; 0-24］,명동예술극장,"2023.10.26~
2023.11.19"
71,"［패키지］ 나의 불편한, 망원동 연적",해당공연 공연장－서울,"2023.10.04~
2023.11.18"
72,“뷰티풀라이프” - 대구,문화예술전용극장 CT,"2023.11.28~
2023.12.31"
73,〈#정답을작성해주세요〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 1관,"2023.10.25~
2023.10.25"
74,〈소년소녀 모험백서〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 2관,"2023.10.26~
2023.10.26"
75,〈자전거 여행〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 1관,"2023.10.23~
2023.10.23"
76,"〈조씨고아, 복수의 씨앗〉 - 세종시",세종예술의전당(세종특별자치시),"2023.11.10~
2023.11.11"
77,〈지수가 누구야〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 1관,"2023.10.29~
2023.10.29"
78,〈푸른 늑대의 후예〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 1관,"2023.10.27~
2023.10.27"
79,〈하트비트〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 2관,"2023.10.22~
2023.10.22"
80,〈The Most Boring Show in the World〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 1관,"2023.10.21~
2023.10.21"
81,〈XXL레오타드 안나수이 손거울〉 2023 제8회 청소년을 위한 공연예술축제(청공축제),대학로 민송아트홀 2관,"2023.10.24~
2023.10.24"
82,1초,대학로 민송아트홀 2관,"2023.10.31~
2023.11.02"
83,2023 〈목련 아래의 디오니소스〉 - 인천,부평아트센터 해누리 극장,"2023.10.20~
2023.10.21"
84,2023 공유생 리:바운드 프로젝트 연극 〈오늘도 극한직업〉,대학로 아트원씨어터 3관,"2023.10.13~
2023.10.15"
85,2023 연극 〈친정엄마와2박3일〉 - 제주,제주아트센터 대극장,"2023.12.09~
2023.12.10"
86,2023 연극 전태일,노무현시민센터 다목적홀(가치하다),"2023.11.02~
2023.11.04"
87,2023 연극 전태일 - 금천,금나래아트홀(금천구청내),"2023.10.28~
2023.10.28"
88,2023 연극만원(滿員)Ⅵ〈우리읍내〉,성남아트센터 앙상블시어터,"2023.11.25~
2023.11.26"
89,2023 제작연극 헉슬리［멋진 신세계］-대전,대전예술의전당 앙상블홀,"2023.10.31~
2023.11.05"
90,2023년 〈환상 연극〉 하녀들 - 부산,전포와일드클럽 아트홀,"2023.09.30~
2023.10.09"
91,2023년 연극 〈친정엄마와 2박3일〉 - 당진,당진 문예의전당 대공연장,"2023.11.10~
2023.11.11"
92,2023놀자청년연극제,설렘아트홀,"2023.10.19~
2023.12.17"
93,2호선 세입자 - 연천,연천수레울아트홀 대공연장,"2023.11.18~
2023.11.18"
94,3대가 웃고 우는 연극 〈염쟁이 유씨〉,대학로 공간아울극장,"2023.10.03~
2023.12.10"
95,가장 아름다운 길 - 신촌문화발전소,신촌문화발전소,"2023.10.13~
2023.10.14"
96,가장 아름다운 길 - 한예극장,한예극장,"2023.10.19~
2023.10.22"
97,곡비,미아리고개예술극장,"2023.10.24~
2023.11.05"
98,공무도하,대학로 민송아트홀 2관,"2023.11.04~
2023.11.05"
99,공포스릴러연극〈두여자〉- 대구,하모니아 아트홀(동성로극장),"2022.07.09~
2023.10.31"
100,괴물,대학로 단막극장,"2023.10.13~
2023.10.29"
101,국립극장 기획 〈나는 재미있는 낙타예요〉,국립극장 달오름극장,"2023.12.06~
2023.12.10"
102,국민연극 〈라이어3탄 - 튀어 〉 광주,광주5.18기념문화센터 민주홀,"2023.12.19~
2023.12.27"
103,그곳에 있었다,댕로홀,"2023.09.01~
2023.10.31"
104,"그날밤, 너랑나",소극장 선물 2관,"2023.10.03~
2023.10.31"
105,그녀를 용서할 수 있을까,나온씨어터,"2023.11.01~
2023.11.12"
106,기승X결,선돌극장,"2023.10.26~
2023.10.29"
107,길 떠나는 고목,소극장 산울림,"2023.10.13~
2023.10.15"
108,깐돌이와 나,예술공간 혜화,"2023.11.18~
2023.11.19"
109,"꽃, 피우다",대학로 민송아트홀 2관,"2023.11.11~
2023.11.12"
110,나는 꽃이 싫다,후암스테이지,"2023.11.14~
2023.11.16"
111,나의 장례식에 와줘,대학로 열린극장,"2023.10.04~
2023.10.15"
112,낙원상가,대학로 예그린씨어터,"2023.11.02~
2023.11.19"
113,낭땡이로 확 쳐불구정 허다 (나무 몽둥이로 확 때려버리고 싶다.),후암스테이지,"2023.10.10~
2023.10.14"
114,내 엄마 수연씨,나루아트센터 대공연장,"2023.11.04~
2023.11.04"
115,내 웨딩케이크는 누가 먹어버렸나,후암스테이지,"2023.11.18~
2023.11.19"
116,넓은 하늘의 무지개를 보면 내 마음은 춤춘다-안산,안산문화예술의전당 달맞이극장,"2023.10.27~
2023.10.28"
117,"네 아가리 속의 위선, 그리고 네 주먹 속의 진심. - 부산",부산예술회관,"2023.10.12~
2023.10.12"
118,농토,후암스테이지,"2023.11.08~
2023.11.12"
119,누구나 댄싱,예술공간 혜화,"2023.11.21~
2023.11.23"
120,"누구에게나 한번쯤 찾아오는 〈그날의,타이밍〉_B",R＆J씨어터,"2023.10.16~
2023.10.22"
121,대구연극 〈오백에삼십〉 - 대구 동성로 아트플러스씨어터,아트플러스씨어터,"2023.11.02~
2023.12.31"
122,"대학로 대표 로코 연극 〈그날의,타이밍〉_J",R＆J씨어터,"2023.10.10~
2023.10.15"
123,대학로 청소년연극 〈사춘기메들리〉,아티스탄홀,"2021.04.01~
2023.10.31"
